commissioning_date,municipality,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,electrical_capacity,municipality_code,project_name,production,tariff,notification_date,contract_period_end,street,canton,company,lat,lon,data_source
2006-04-01,Aarberg,Renewable energy,Bioenergy,,Biomass and biogas,0.625,3270,B Kompogas-Anlage Aarberg,1224.5376,,2008-05-02,,Alte-Lyss-Strasse 31,BE,Axpo Kompogas AG,47.0442,7.2832,BFE
2006-04-20,Carouge,Renewable energy,Solar,,Connected unit,0.2704,1227,PVA MigrosParc La Praille Carouge,270.6058,,2008-05-02,,Avenue Vibert 32,GE,Services Industriels de Genève (SIG),46.1795,6.1391,BFE
2006-04-24,Ennenda,Renewable energy,Hydro,,Run-of-river,0.032,8755,Wasserkraftschnecke,251.42958000000002,,2008-05-07,,Wiesstrasse 2,GL,Schilta AG,47.0439,9.0978,BFE
2006-06-12,Chur,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.25,7000,Biogasanlage Mani Chur,879.5302,,2008-11-03,,Deutsche Strasse 65,GR,Halbmil Biogas GmbH,46.8535,9.5309,BFE
2006-06-19,Walterswil,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.38,5746,BAWA Biogasanlage Walterswil,1433.8697999999997,,2008-05-02,,Höhleweg 4,SO,BAWA Biogas GmbH,47.329,7.9681,BFE
2006-07-27,Baden,Renewable energy,Hydro,,Run-of-river,6.55,5400,KW Kappelerhof - Ausbau,33503.44025,,2008-05-07,,Im Roggenbode 19,AG,Limmatkraftwerke AG,47.4716,8.2925,BFE
2006-08-01,Marthalen,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.25,8460,B Sunnehofenergie GmbH Marthalen,616.8657999999999,,2010-03-10,,Sunnehof 1,ZH,Sunnehofenergie GmbH,47.6205,8.6408,BFE
2006-08-25,Rickenbach,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.1,6221,Biogasanlage Hawisa GmbH Rickenbach,527.84334,,2008-05-02,,Hasenhusen 4,LU,Hawisa GmbH,47.2154,8.15,BFE
2006-09-02,Füllinsdorf,Renewable energy,Bioenergy,,Biomass and biogas,0.249,4414,BHKW ARA Ergolz 2 Füllinsdorf ,1477.2319499999996,,2008-05-02,,Wölferstrasse 13,BL,Amt für Industrielle Betriebe AIB,47.5094,7.7343,BFE
2006-09-18,Oberwald,Renewable energy,Hydro,,Drinking water plant,0.045,3999,Kleinkraftwerk Gemmet,120.1123,,2008-06-13,,Grimselpasshöhe Hotel Grim,VS,Hotel Grimselblick Kleinkraftwerk Gemmet,46.5728,8.3962,BFE
2006-09-20,Villars-s-Glâne,Renewable energy,Bioenergy,,Biomass and biogas,0.115,1752,CCF Villars-s-Glâne,663.31025,,2008-07-03,,Ste Apolline 20,FR,STEP Villars-s-Glâne,46.7961,7.123,BFE
2006-10-06,Le Landeron,Renewable energy,Solar,,Connected unit,0.11,2525,PV Rollomatic SA Nicolas Wyss,35.66398,,2008-05-05,,ZI Prés-Bugnons ,NE,ROLLOMATIC SA,47.06,7.0635,BFE
2006-10-19,Lausanne,Renewable energy,Hydro,,Diversion plant,0.16,1007,*Micro-turbinage du Capelard,243.798,,2008-08-20,,Vallée de la Jeunesse 1,VD,Service d'assainissement de Lausanne,46.5177,6.609,BFE
2006-10-19,Lausanne,Renewable energy,Hydro,,Diversion plant,0.16,1007,*Micro-turbinage du Capelard,9.36975,,2008-08-20,,Vallée de la Jeunesse 1,VD,Service de l`eau,46.5177,6.609,BFE
2006-10-20,Klosters,Renewable energy,Hydro,,other Hydro,0.0836,7250,K Repower AG Klosters - Dotierkraftwerk Wehr,253.37145,,2013-07-18,,Gotschnastrasse 497C,GR,Repower AG,46.837,9.9764,BFE
2006-10-28,St. Gallen,Renewable energy,Hydro,,Run-of-river,0.14,9000,KW Buchholz St. Gallen,569.3254600000001,,2008-05-02,,St. Leonhardstrasse 59,SG,Glattstrom Buchholz AG,47.4236,9.3622,BFE
2006-11-01,Aubonne,Renewable energy,Hydro,,Run-of-river,0.068,1170,K Armary Sàrl Aubonne,367.20100999999994,,2008-05-02,,Chemin de l'Ouriettaz 173,VD,Armary Sàrl,46.487,6.3873,BFE
2006-11-07,Aarburg,Renewable energy,Hydro,,Run-of-river,0.35,4663,K KWKW Webcenter Aarburg,1424.9065900000003,,2008-09-19,,Weberstrasse 11,AG,MEG TERRAN,47.3231,7.9036,BFE
2006-11-11,Sion,Renewable energy,Bioenergy,,Biomass and biogas,0.245,1950,CCF STEP Châteauneuf/Sion,670.0414400000001,,2008-05-02,,Avenue Maurice-Troillet 180,VS,Ville de Sion,46.2295,7.3568,BFE
2006-11-14,Altishofen,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.29,6246,Biogasanlage Wiggenhof Altishofen,971.8928799999999,,2008-09-18,,Wiggenhof 1,LU,Biogas Altishofen GmbH,47.2035,7.9593,BFE
2006-11-22,Dreifachturnhalle Maihof,Renewable energy,Solar,,Connected unit,0.032,8834,PV Schindellegi Dreifachturnhalle Maihof,33.56826,,2008-12-05,,Schulhausstrasse 10,SZ,Elektrizitätswerk Schindellegi,47.1742,8.7059,BFE
2006-11-30,Bever,Renewable energy,Bioenergy,,Biomass and biogas,0.1,7502,BHKW ARA Sax,309.7288,,2008-05-23,,Sax,GR,Zweckgemeinschaft ARA Sax  Samedan / Bever,46.5424,9.7995,BFE
2006-11-30,Effretikon (Illnau),Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.321,8307,EKZ Pflanzenöl Langhag,-1.9185999999999999,,2008-05-01,,Im Langhag 8,ZH,Elektrizitätswerke des Kantons Zürich (EKZ),47.4248,8.6903,BFE
2006-12-03,Lausanne,Renewable energy,Solar,,Connected unit,0.0396,1004,EPSIC II Bonvin,43.23483,,2008-07-16,,Route de Genève 63,VD,Sunseed SA,46.5285,6.6187,BFE
2006-12-05,Twann,Renewable energy,Hydro,,Run-of-river,0.075,2513,Wasserkraftwerk Twannbach,211.97820000000002,,2008-05-04,,Chlyne Twann 1,BE,KW Twannbach GmbH,47.1073,7.1626,BFE
2006-12-12,Adelboden,Renewable energy,Hydro,,Drinking water plant,0.075,3715,TWKW Adelboden Moosweid,560.9861999999999,,2008-06-20,,Alte Strasse 9,BE,Licht- und Wasserwerk Adelboden AG (LWA),46.47,7.5582,BFE
2006-12-18,Wängi,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.1,9545,Wärme-Kraftkoppelungsanlage,588.9916,,2008-05-02,,Anetswilerstrasse 14,TG,Sprenger Bioenergie-Gewinnung,47.4977,8.9674,BFE
2007-01-26,Kreuzlingen,Renewable energy,Solar,,Connected unit,0.0432,8280,PVA HPZ Ekkharthof Sonderschulheim Kreuzlingen,32.64583,,2008-05-07,,Schützenstrasse 17,TG,Ekkharthof (P-12137),47.6405,9.1755,BFE
2007-03-13,Knonau,Renewable energy,Solar,,Integrated unit,0.05452,8934,PV Solargenossenschaft Bergli Knonau,49.98549,,2008-05-13,,Alpenblickstrasse 1 / Weidstrasse 18,ZH,Solargenossenschaft Bergli,47.2243,8.4631,BFE
2007-03-16,Winterthur,Renewable energy,Hydro,,Diversion plant,0.151,8406,Kraftwerk Niedertöss,798.1043,,2008-05-02,,Schlosstalstrasse 43,ZH,Nordstrom GmbH ,47.4832,8.7006,BFE
2007-04-01,Mauensee,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.205,6216,B Biogasanlage Lampart Mauensee,1256.7655499999998,,2008-05-09,,Bognau,LU,Lampart A&D Biogas & Kompostierung,47.1684,8.0747,BFE
2007-04-01,Utzenstorf,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.2,3427,Kompogas-Anlage Utzenstorf,618.5620799999999,,2008-05-02,,Fabrikstrasse 18,BE,Kompogas Utzenstorf AG c/o Axpo Kompogas AG,47.1201,7.5639,BFE
2007-04-01,Cugy,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.1,1053,Biogaz Agricole Saugealles,256.41631,,2008-05-19,,Route des Saugealles 1,VD,Services industriels de Lausanne (SiL),46.5986,6.6466,BFE
2007-04-01,Pontresina,Renewable energy,Hydro,,Run-of-river,0.25,7504,K TWKW Pontresina - Clüx,932.01585,,2010-11-19,,TWKW-TS Reservoir Clüx ,GR,Gemeindeverwaltung Pontresina,46.4955,9.9013,BFE
2007-04-01,Glattbrugg,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.09,8152,Kompogas-Anlage Langenthal,529.6904,,2008-05-02,,Flughofstrasse 54,ZH,Axpo Kompogas AG,47.4326,8.561,BFE
2007-04-17,Domat/Ems,Renewable energy,Bioenergy,,Biomass and biogas,21.0,7013,Biomassekraftwerk Domat/Ems,30301.655649999997,,2008-05-02,,Reichenauerstrasse A,GR,Axpo Tegra AG,46.8193,9.4528,BFE
2007-04-20,Madiswil,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.3,4934,Biogasanlage Schürch Madiswil,2210.3872,,2008-05-02,,Steingasse 28,BE,Biopower Schürch AG,47.1623,7.8017,BFE
2007-05-17,Unterbäch,Renewable energy,Hydro,,Diversion plant,1.19,3944,Kleinwasserkraftwerk Turtig,6961.25225,,2008-05-02,,Gero 1,VS,Augstbord Energie AG,46.2465,7.7745,BFE
2007-06-22,Filzbach,Renewable energy,Hydro,,Run-of-river,0.23,8757,KW Sitli Filzbach,1018.3492499999999,,2008-12-29,,Birchweg 19,GL,EW im Sitli Filzbach AG,47.112,9.1197,BFE
2007-07-01,Uetendorf,Renewable energy,Bioenergy,,Biomass and biogas,0.83,3661,B Oekostrom ARA Thunersee,4218.011600000001,,2008-05-02,,Aarestrasse 62,BE,ARA Thunersee,46.7758,7.5772,BFE
2007-07-01,Hätzingen,Renewable energy,Hydro,,Run-of-river,1.09,8775,KW Hefti Hätzingen,5794.84375,,2008-05-02,,Hostet,GL,Hefti Hätzingen AG c/o Jackcontrol AG,46.9617,9.0475,BFE
2007-07-13,Albeuve,Renewable energy,Hydro,,Drinking water plant,0.164,1669,Hydro - Petite centrale hydroélectrique Haut-Intyamon - Albeuve,1129.366,,2008-05-20,,Rue de Moléson 19,FR,Chabloz Energie SA,46.5067,7.0266,BFE
2007-07-20,Lindau,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.5,8315,Biogasanlage BGL Bio Gas Lindau,1974.7844700000003,,2008-05-01,,Nürensdorferstrasse 4,ZH,BGL Bio Gas Lindau,47.4439,8.6778,BFE
2007-07-25,Hasliberg Wasserwendi,Renewable energy,Hydro,,Drinking water plant,0.032,6084,Turbinenanlage Reservoir Erlimad,121.33583,,2008-05-06,,Erlimad,BE,Einwohnergemeinde Hasliberg,46.7546,8.2105,BFE
2007-08-11,Lutry,Renewable energy,Bioenergy,,Biomass and biogas,0.034,1095,Groupe chaleur force Tedom Lutry,150.041,,2008-09-29,,Route de Lavaux,VD,Commune de Lutry,46.5064,6.6921,BFE
2007-08-22,Scuol,Renewable energy,Bioenergy,,Biomass and biogas,0.055,7550,BHKW ARA Sot Ruinas,118.57886,,2008-07-18,,Ara Sot Ruinas 535,GR,Zweckverband ARA Sot Ruinas c/o Bauamt Scuol,46.7324,10.3277,BFE
2007-08-27,Maienfeld,Renewable energy,Hydro,,Drinking water plant,0.065,7304,TWKW Wissmürli Maienfeld,355.09044,,2008-12-31,,Rathaus,GR,AG Elektrizitätswerk Maienfeld,47.0192,9.5398,BFE
2007-08-29,Winterthur,Renewable energy,Solar,,Connected unit,0.088,8404,PV Allianz Suisse Immobilien AG Winterthur,43.95685999999999,,2008-05-22,,Else-Jüblin-Strasse 91-111,ZH,Allianz Suisse Immobilien AG,47.5075,8.7592,BFE
2007-09-08,Au,Renewable energy,Bioenergy,,Biomass and biogas,0.2,9434,BHKW Rosenbergsau,1314.9585100000002,,2008-05-13,,Rosenbergsau 11,SG,Zweckverband Abwasserwerk Rosenbergsau,47.4311,9.6387,BFE
2007-09-13,Luzern,Renewable energy,Solar,,Connected unit,0.0302,6003,PV Luzerner Kantonalbank Luzern,27.3923,,2008-05-02,,Pilatusstrasse 14,LU,ewl Verkauf AG,47.0501,8.297,BFE
2007-09-25,Winterthur,Renewable energy,Hydro,,Diversion plant,0.227,8406,KW Obertöss Winterthur,1143.0652000000002,,2008-05-02,,Klosterstrasse 20,ZH,Nordstrom GmbH ,47.4832,8.7006,BFE
2007-09-26,Schwanden,Renewable energy,Hydro,,Drinking water plant,0.03,8762,TWKW Reservoir Büelegg,155.0275,,2008-05-02,,Büelwald 1,GL,Gemeinde Glarus Süd,46.9672,9.0996,BFE
2007-09-27,Näfels,Renewable energy,Hydro,,Unknown,0.89,8752,TBGN Wasser Nä Rütiberg G1,4696.6703,,2008-06-02,,Rütiberg 2,GL,Technische Betriebe Glarus Nord (TBGN),47.0821,9.0108,BFE
2007-10-01,Pfäfers,Renewable energy,Hydro,,Drinking water plant,0.12,7312,KKW Buchwald - Valens Pfäfers,807.7713699999999,,2008-05-28,,Eichbüel 10,SG,Ortsgemeinde Valens,46.9756,9.4931,BFE
2007-10-03,Liestal,Renewable energy,Solar,,Connected unit,0.0346,4410,"PV HPS, Liestal",33.9,,2008-05-02,,Standweg 9,BL,ADEV Solarstrom AG,47.483,7.7254,BFE
2007-11-01,Winterthur,Renewable energy,Solar,,Connected unit,0.088,8404,PV Eulachhof Winterthur,85.80205000000001,,2008-06-11,,Barbara Reinhart-Str. 28-46 / Elsezüblinstr. 115,ZH,Profond Vorsorgeeinrichtung,47.5075,8.7592,BFE
2007-11-01,Altdorf,Renewable energy,Hydro,,Run-of-river,0.32,6460,KW Stäubenwald,1561.38824,,2008-05-02,,Herrengasse 1,UR,Elektrizitätswerk Altdorf AG (EWA),46.8876,8.6412,BFE
2007-11-05,Krummenau,Renewable energy,Hydro,,Diversion plant,1.8,9643,K Kraftwerk Trempel,8583.08825,,2008-05-02,,Trempelbrücke,SG,Kraftwerk Trempel AG,47.2675,9.1924,BFE
2007-11-05,Steinach,Renewable energy,Bioenergy,,Biomass and biogas,0.787,9323,B Abwasserverband ARA Morgental,3805.92125,,2008-05-08,,Bleichestrasse 45,SG,Abwasserverband Morgental,47.4948,9.4331,BFE
2007-11-21,Männedorf,Renewable energy,Bioenergy,,Biomass and biogas,0.14,8708,BHKW ZSA,931.52785,,2008-05-19,,Winterhalden,ZH,ZSA Pfannenstiel,47.2521,8.6924,BFE
2007-11-23,Dietikon,Renewable energy,Bioenergy,,Biomass and biogas,0.38,8953,BHKW Klärgas 1,2146.9035999999996,,2008-05-02,,Reservatstrasse 5,ZH,Limeco,47.4006,8.3974,BFE
2007-11-27,Schafisheim,Renewable energy,Solar,,Integrated unit,0.0405,5503,PV-SH-Aufstockung Schafisheim,35.738789999999995,,2008-05-01,,Schulweg 20,AG,Elektrizitätswerk Schafisheim,47.3753,8.1383,BFE
2007-12-01,Kerzers,Renewable energy,Bioenergy,,Biomass and biogas,0.035,3210,ARA Region Kerzers,74.4165,,2008-05-08,,Im Erli,FR,ARA Region Kerzers,46.979,7.1984,BFE
2007-12-10,Buchs,Renewable energy,Bioenergy,,Biomass and biogas,0.04,8107,BHKW Kläranlage Buchs,204.14635,,2008-10-22,,Wiesenhofstrasse 20,ZH,Kläranlage Buchs-Dällikon,47.4587,8.4406,BFE
2007-12-12,Buchs,Renewable energy,Solar,,Connected unit,0.1872,8107,AMAG Buchs Photovoltaikanlage,204.47822999999997,,2008-05-01,,Dällikerstrasse 30,ZH,AMAG Automobil und Motoren AG - Teile und Zubehör,47.4587,8.4406,BFE
2007-12-17,Wangs,Renewable energy,Hydro,,Drinking water plant,0.083,7323,KWKW Wasserversorgung Vilters-Wangs - Buchholz,567.73686,,2008-05-08,,Buchholzstrasse,SG,Wasserversorgung Vilters-Wangs,47.0027,9.4122,BFE
2007-12-20,Aigle,Renewable energy,Bioenergy,,Biomass and biogas,0.06,1860,CCF de la STEP d'Aigle,228.29701999999995,,2008-08-05,,Route d'Evian,VD,Commune d'Aigle,46.3139,6.969,BFE
2007-12-21,Essertines-sur-Yverdon,Renewable energy,Solar,,Connected unit,0.0326,1417,*PV Essertines sur Yverdon,3.6105,,2008-05-02,,Grande Salle,VD,Romande Energie SA,46.7174,6.6434,BFE
2007-12-21,Essertines-sur-Yverdon,Renewable energy,Solar,,Connected unit,0.0326,1417,*PV Essertines sur Yverdon,28.9995,,2008-05-02,,Grande Salle,VD,Romande Energie Renouvelable SA,46.7174,6.6434,BFE
2007-12-23,Zuoz,Renewable energy,Bioenergy,,Biomass and biogas,0.075,7524,Biogasanlage Zuoz,221.05402,,2008-05-02,,Villa Monod,GR,ForzAgricula GmbH,46.5984,9.9344,BFE
2008-01-01,St. Moritz,Renewable energy,Hydro,,Run-of-river,4.3,7500,Kraftwerk Islas,15801.833780000003,,2008-05-07,,Via Signuria 5,GR,St. Moritz Energie,46.4855,9.8335,BFE
2008-01-20,Andermatt,Renewable energy,Hydro,,Run-of-river,0.88,6490,Kraftwerk Realp,3886.113149999999,,2008-05-02,,Gotthardstrasse 74,UR,Elektrizitätswerk Ursern,46.6175,8.6143,BFE
2008-02-01,Ibach,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.526,6438,Energiezentrum Wintersried,3047.2158,,2008-05-02,,Wintersried,SZ,AGRO Energie Schwyz AG,47.0017,8.648,BFE
2008-03-08,Dardin,Renewable energy,Hydro,,Drinking water plant,0.4,7164,TWKW Casut Dardin,1505.5594,,2008-05-14,,Casut,GR,Gemeindeverwaltung Breil/Brigels Stromversorgung,46.758,9.0372,BFE
2008-03-14,Inwil,Renewable energy,Bioenergy,,Biomass and biogas,0.035,6034,Biomasse Anlage Ara Oberseetal,179.86982999999998,,2008-06-20,,Industriestrasse 81,LU,Gemeindeverband ARA Oberseetal,47.1278,8.3637,BFE
2008-03-20,Porrentruy,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.5,2900,Biogaz La Prairie Porrentruy,2060.8368,,2008-05-02,,Route de Courtedoux,JU,La Prairie Biogaz,47.4206,7.0686,BFE
2008-03-26,Villorsonnens,Renewable energy,Bioenergy,,Biomass and biogas,0.44,1694,Biogaz Meinrad Cotting & Fils SA Villorsonnens,1877.50275,,2008-11-27,,Les Planches Gonrad 166,FR,Meinrad Cotting & Fils SA,46.7134,6.9956,BFE
2008-04-01,Langenthal,Renewable energy,Hydro,,Diversion plant,0.032,4900,Kraftwerk Heusser AG,200.43784000000002,,2008-05-02,,Nelkenweg 3,BE,Schlossfabrik Heusser AG,47.2175,7.7951,BFE
2008-04-01,Klingnau,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.625,5313,Kompogas-Anlage Klingnau,3250.457450000001,,2008-05-02,,Zelgli 10 a,AG,Kompogas Bioriko AG,47.5885,8.2492,BFE
2008-04-01,Uzwil,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.856,9240,Kompogas-Anlage Uzwil,2045.8447099999996,,2008-05-02,,Niederuzwil,SG,Axpo Kompogas AG,47.4287,9.169,BFE
2008-04-01,Sempach,Renewable energy,Bioenergy,,Biomass and biogas,0.05,6204,BHKW ARA Sempach Neuenkirch,250.65795,,2008-06-26,,Seelandstrasse,LU,Gemeindeverband Abwasserreinigung Sempach-Neuenkirch,47.1363,8.2061,BFE
2008-04-08,Marly,Renewable energy,Bioenergy,,Biomass and biogas,0.08,1723,Station d'épuration de Marly,378.889,,2008-05-07,,route de la Gérine 128,FR,Association Gérine-Nesslera,46.7768,7.1474,BFE
2008-04-09,Grossdietwil,Renewable energy,Solar,,Connected unit,0.2401,6146,PV Andermatt Service AG Grossdietwil,212.83644,,2008-05-02,,Stahlermatten 6,LU,Andermatt Service AG,47.1688,7.8963,BFE
2008-04-15,Fällanden,Renewable energy,Bioenergy,,Biomass and biogas,0.175,8117,"Kapazitätserweiterung BHKW, ARA Bachwis",1042.4722,,2008-05-02,,Industriestrasse 50,ZH,Gemeinde Volketswil / ARA Bachwis,47.3704,8.6434,BFE
2008-04-18,Trübbach,Renewable energy,Solar,,Connected unit,0.036,9477,PV-Anlage Reich Stall DKT,34.330149999999996,,2008-05-01,,Siedlung Lindenhof ,SG,Dorfkorporation Trübbach,47.0781,9.4882,BFE
2008-04-22,Richterswil,Renewable energy,Bioenergy,,Biomass and biogas,0.065,8805,Gasturbine ARA Richterswil,196.02931999999998,,2008-05-15,,Seestrasse 70,ZH,Gemeinde Richterswil,47.2139,8.7098,BFE
2008-04-23,Bürglen,Renewable energy,Hydro,,Diversion plant,0.45,8575,Kraftwerk Säge Bürglen,2620.37314,,2008-05-02,,Istighoferstrasse 13,TG,Thurkraftwerk AG,47.539,9.1455,BFE
2008-04-24,Trübbach,Renewable energy,Solar,,Connected unit,0.0343,9477,PV Gewerbehalle 1 Trübbach,36.640989999999995,,2008-05-01,,Fuchsbüelstrasse ,SG,Targa-Tech AG,47.0781,9.4882,BFE
2008-04-29,Gipf-Oberfrick,Renewable energy,Solar,,Connected unit,0.0323,5073,Photovoltaikanlage Werkhof Urs Treier,35.719,,2008-05-02,,Grimselstrasse ,AG,Einwohnergemeinde Gipf-Oberfrick,47.4897,8.0065,BFE
2008-05-07,Kriens,Renewable energy,Solar,,Integrated unit,0.07833,6010,PV BE Netz AG Kriens - Amlehn,70.45845,,2008-05-01,,Amlehnstrasse 29,LU,BE Netz AG,46.9793,8.2555,BFE
2008-05-14,Sivieriez,Renewable energy,Solar,,Connected unit,0.1027,1678,PV Commune de Siviriez - Déchetterie,107.7325,,2008-05-02,,Au Village-Dechetterie,FR,Commune de Siviriez,46.6622,6.8758,BFE
2008-05-15,Vich,Renewable energy,Solar,,Connected unit,0.079,1267,PVA Liniger Agro SA Vich,77.68878000000001,,2008-05-02,,Route de l'Etraz ,VD,Liniger-Agro SA / Vich,46.4296,6.2484,BFE
2008-05-20,Saint-Martin,Renewable energy,Hydro,,Drinking water plant,0.2,1969,Centrale de turbinage de l'eau potable de St-Martin/Gréféric,1015.5849999999999,,2008-05-02,,administration communale c. p. 64,VS,Administration communale,46.1741,7.4721,BFE
2008-06-01,Mörschwil,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.09,9402,Bestehende Biogasanlage mit Erneuerung / Ausbau 2008,695.2525,,2008-05-02,,Schloss Watt,SG,Watt Energie GmbH,47.4672,9.428,BFE
2008-06-01,Rickenbach,Renewable energy,Solar,,Connected unit,0.1308,6221,PV Fürobe Energie GmbH Rickenbach,127.03016000000002,,2008-05-02,,Niederwil ,LU,Fürobe Energie GmbH,47.2154,8.15,BFE
2008-06-05,Oeschseite,Renewable energy,Solar,,Integrated unit,0.0448,3776,PVA Kunz Oeschseite,42.80749999999999,,2008-05-02,,Schlündistrasse 5,BE,BKW Energie AG,46.5263,7.3376,BFE
2008-06-13,Horw,Renewable energy,Solar,,Integrated unit,0.0522,6048,PV Biogärtnerei Emanuel Zimmermann & co. Horw,40.44305,,2008-05-02,,Oberwil ,LU,Biogärtnerei Emanuel Zimmermann & co.,47.0135,8.3131,BFE
2008-06-13,Cerniat,Renewable energy,Hydro,,Drinking water plant,0.06,1654,Petite Centrale Hydroelectrique Valsainte,302.07608,,2008-08-19,,Route de la Valsainte 122,FR,Chartreuse de la Valsainte,46.6508,7.1842,BFE
2008-06-23,Rotkreuz,Renewable energy,Solar,,Connected unit,0.041,6343,PV KOMAX AG Rotkreuz,32.095510000000004,,2008-06-11,,Riedstrasse 18,ZG,KOMAX AG ,47.1383,8.4614,BFE
2008-07-02,Davos Glaris,Renewable energy,Bioenergy,,Biomass and biogas,0.1,7277,B BHKW ARA Davos,380.29721,,2008-05-13,,höfjistrasse 2,GR,ARA Davos,46.7392,9.7672,BFE
2008-07-04,St. Gallen,Renewable energy,Hydro,,Run-of-river,0.368,9000,K KW Burentobel,1122.8596,,2008-05-02,,Burentobelweg 8,SG,KW Burentobel AG,47.4236,9.3622,BFE
2008-07-09,Porrentruy,Renewable energy,Solar,,Integrated unit,0.048,2900,Pruntrut Roy PV - La Prairie Biogaz,45.27159999999999,,2008-05-02,,Route de Courtedoux,JU,La Prairie Biogaz,47.4206,7.0686,BFE
2008-07-10,Unterseen,Renewable energy,Hydro,,Run-of-river,0.12,3800,Wasserkraftwerk EW- Schärz Immobilien AG Unterseen,671.4510300000001,,2008-12-17,,Hauptstrasse 23,BE,Schärz Immobilien AG,46.6754,7.8661,BFE
2008-07-25,Rothrist,Renewable energy,Solar,,Stand alone unit,0.0335,4852,PVA Werkhofdach Feuerwehrmagazin EW Rothrist AG Rothrist,25.474980000000002,,2008-05-06,,Bernstrasse 108,AG,EW Rothrist AG,47.298,7.8857,BFE
2008-08-01,Vuiteboeuf,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.095,1445,Biogaz Karlen Frères Vuiteboeuf,666.156,,2008-05-02,,Rte de Vugelles 2,VD,Karlen Frères,46.8059,6.5506,BFE
2008-08-02,Melide,Renewable energy,Solar,,Integrated unit,0.12285,6815,AET6 PonteDiga Melide,144.42537,,2008-05-26,,Ponte Diga,TI,AET (Azienda Elettrica Ticinese),45.9611,8.9462,BFE
